time,vehicle_id,x,y,speed,ped_x,ped_y,distance_to_ped,relative_speed,ttc,risk_level,scenario
0.0,car_01,30.0,10.0,2.8,5.0,10.0,25.0,-0.0,999.0,0,front_approach
0.1,car_01,29.72,10.0,2.8,5.0,10.0,24.72,2.8000000000000114,8.828571428571392,0,front_approach
0.2,car_01,29.44,10.0,2.8,5.0,10.0,24.44,2.799999999999976,8.728571428571504,0,front_approach
0.30000000000000004,car_01,29.16,10.0,2.8,5.0,10.0,24.16,2.8000000000000105,8.628571428571396,0,front_approach
0.4,car_01,28.88,10.0,2.8,5.0,10.0,23.88,2.800000000000012,8.528571428571393,0,front_approach
0.5,car_01,28.6,10.0,2.8,5.0,10.0,23.6,2.7999999999999763,8.4285714285715,0,front_approach
0.6000000000000001,car_01,28.32,10.0,2.8,5.0,10.0,23.32,2.8000000000000087,8.328571428571403,0,front_approach
0.7000000000000001,car_01,28.04,10.0,2.8,5.0,10.0,23.04,2.800000000000012,8.228571428571394,0,front_approach
0.8,car_01,27.76,10.0,2.8,5.0,10.0,22.76,2.7999999999999763,8.128571428571497,0,front_approach
0.9,car_01,27.48,10.0,2.8,5.0,10.0,22.48,2.800000000000012,8.028571428571395,0,front_approach
1.0,car_01,27.2,10.0,2.8,5.0,10.0,22.2,2.800000000000012,7.928571428571395,0,front_approach
1.1,car_01,26.92,10.0,2.8,5.0,10.0,21.92,2.799999999999973,7.828571428571504,0,front_approach
1.2000000000000002,car_01,26.64,10.0,2.8,5.0,10.0,21.64,2.8000000000000087,7.728571428571405,0,front_approach
1.3,car_01,26.36,10.0,2.8,5.0,10.0,21.36,2.800000000000015,7.628571428571388,0,front_approach
1.4000000000000001,car_01,26.08,10.0,2.8,5.0,10.0,21.08,2.8000000000000087,7.5285714285714045,0,front_approach
1.5,car_01,25.8,10.0,2.8,5.0,10.0,20.8,2.7999999999999794,7.428571428571484,0,front_approach
