time,vehicle_id,x,y,speed,ped_x,ped_y,distance_to_ped,relative_speed,ttc,risk_level,scenario
0.0,side_car_01,6.0,32.0,2.2,5.0,10.0,22.02271554554524,-0.0,999.0,0,side_blindspot
0.1,side_car_01,6.0,31.78,2.2,5.0,10.0,21.802944755238915,2.1977079030632396,9.920765505210785,0,side_blindspot
0.2,side_car_01,6.0,31.56,2.2,5.0,10.0,21.583178635224236,2.19766120014679,9.820976333286776,0,side_blindspot
0.30000000000000004,side_car_01,6.0,31.34,2.2,5.0,10.0,21.363417329631513,2.197613055927227,9.72119148637737,0,side_blindspot
0.4,side_car_01,6.0,31.12,2.2,5.0,10.0,21.143660988580006,2.1975634105150736,9.621411098951757,0,side_blindspot
0.5,side_car_01,6.0,30.9,2.2,5.0,10.0,20.92390976849212,2.197512200878862,9.521635311114048,0,side_blindspot
0.6000000000000001,side_car_01,6.0,30.68,2.2,5.0,10.0,20.704163832427525,2.197459360645942,9.421864268898947,0,side_blindspot
0.7000000000000001,side_car_01,6.0,30.46,2.2,5.0,10.0,20.484423350438743,2.1974048198878298,9.322098124588807,0,side_blindspot
0.8,side_car_01,6.0,30.24,2.2,5.0,10.0,20.264688499949855,2.1973485048888723,9.222337037053078,0,side_blindspot
0.9,side_car_01,6.0,30.02,2.2,5.0,10.0,20.044959466160066,2.1972903378978974,9.122581172107036,0,side_blindspot
1.0,side_car_01,6.0,29.8,2.2,5.0,10.0,19.825236442474022,2.197230236860435,9.022830702895199,0,side_blindspot
1.1,side_car_01,6.0,29.58,2.2,5.0,10.0,19.60551963096107,2.197168115129527,8.923085810302362,0,side_blindspot
1.2000000000000002,side_car_01,6.0,29.36,2.2,5.0,10.0,19.385809242845653,2.1971038811541614,8.823346683390358,0,side_blindspot
1.3,side_car_01,6.0,29.14,2.2,5.0,10.0,19.166105499031357,2.1970374381429667,8.723613519864003,0,side_blindspot
1.4000000000000001,side_car_01,6.0,28.919999999999998,2.2,5.0,10.0,18.946408630661377,2.196968683699792,8.623886526572965,0,side_blindspot
1.5,side_car_01,6.0,28.7,2.2,5.0,10.0,18.72671887971836,2.19689750943019,8.524165920045817,0,side_blindspot
1.6,side_car_01,6.0,28.48,2.2,5.0,10.0,18.50703649966682,2.1968238005153733,8.424451927061735,0,side_blindspot
